Date,24h Average,Ask,Bid,Last,Total Volume
6/30/2015,262.7,264.33,264.19,264.28,124557.87
6/29/2015,253.47,255.98,255.84,255.98,93823.64
6/28/2015,251,250.84,250.66,250.75,42153.05
6/27/2015,247.45,252.22,251.92,252.34,57101.06
6/26/2015,244.23,244.51,244.21,244.4,37765.41
6/25/2015,244.03,243.62,243.5,243.59,44924.07
6/24/2015,245.21,242.83,242.66,242.73,53144
6/23/2015,247.1,246.45,246.33,246.42,41301.22
6/22/2015,246.5,248.72,248.64,248.71,52090.71
6/21/2015,245.85,245.73,245.63,245.7,26873.47
6/20/2015,244.29,245.48,245.42,245.5,68398.45
6/19/2015,249.36,246.88,246.7,246.89,58965.44
6/18/2015,249.27,249.88,249.62,249.87,86083.1
6/17/2015,251.65,248.72,248.65,248.77,126711.65
6/16/2015,241.71,248.16,248.09,248.18,120641.35
6/15/2015,236.05,237.5,237.41,237.5,62391.49
6/14/2015,234.72,234.24,234.18,234.28,35393.45
6/13/2015,231.87,233.64,233.49,233.67,39818.62
6/12/2015,231.97,231.56,231.39,231.48,42166.98
6/11/2015,231.28,230.85,230.73,230.89,43195.67
6/10/2015,231.35,230.56,230.47,230.54,43122.78
6/9/2015,230.71,231.13,230.99,231.12,60407.81
6/8/2015,226.32,229.31,229.2,229.23,77146.39
6/7/2015,226.22,224.33,224.19,224.23,42537.08
6/6/2015,226.85,226.66,226.5,226.69,34409.03
6/5/2015,225.94,226.74,226.49,226.6,61071.33
6/4/2015,226.8,225.86,225.72,225.88,49889.57
6/3/2015,226.84,227.12,227.04,227.12,57299.11
6/2/2015,224.57,226.21,226.05,226.09,72109.31
6/1/2015,228.23,221.71,221.53,221.67,95200.63
5/31/2015,233.73,231.54,231.39,231.53,34017.9
5/30/2015,235.96,233.38,233.25,233.34,44889.39
5/29/2015,238.24,238.21,238.03,238.25,39903.64
5/28/2015,238.49,238.6,238.52,238.69,37396.4
5/27/2015,239.07,237.68,237.54,237.62,53310.39
5/26/2015,238.16,238.49,238.4,238.51,44647.2
5/25/2015,239.76,237.87,237.71,237.82,36722.19
5/24/2015,240.86,242.03,241.84,241.93,32960.13
5/23/2015,240.84,240.45,240.23,240.32,36064.67
5/22/2015,237.8,240.75,240.64,240.71,79796.87
5/21/2015,236.2,236.43,236.23,236.42,45267.16
5/20/2015,234.73,234.81,234.7,234.78,48804.16
5/19/2015,234.29,233.88,233.81,233.93,43701.47
5/18/2015,237.19,233.81,233.71,233.8,50755.28
5/17/2015,238.33,237.38,237.23,237.36,28172.41
5/16/2015,238.88,238.08,238.01,238.1,34072.94
5/15/2015,242.02,237.07,236.84,236.99,86021.6
5/14/2015,242.02,237.07,236.84,236.99,86021.6
5/13/2015,244.24,237.05,236.94,237.08,62728
5/12/2015,242.67,242.94,242.81,242.99,57316.34
5/11/2015,242.15,243.42,243.33,243.45,63103.96
5/10/2015,242.54,241.43,241.16,241.4,45902.18
5/9/2015,243.64,243.01,242.88,242.95,63207.23
5/8/2015,240.19,245.33,245.14,245.18,90559.59
5/7/2015,232.19,238.56,238.38,238.5,127117.86
5/6/2015,236.19,231.74,231.53,231.81,70781.44
5/5/2015,236.72,236.49,236.41,236.43,77971.44
5/4/2015,240.97,239.9,239.72,239.82,67775.85
5/3/2015,240.23,240.94,240.84,240.95,55081.17
5/2/2015,235.78,237.01,236.89,236.94,42303.4
5/1/2015,236.29,235.84,235.59,235.7,59886
4/30/2015,231.66,237.15,236.84,237.07,114641.84
4/29/2015,226.44,227.27,227.21,227.25,60261.17
4/28/2015,227.12,226.35,226.02,226.27,80404.02
4/27/2015,220.74,233.87,233.51,233.8,119045.21
4/26/2015,220.36,219.56,219.48,219.54,102789.57
4/25/2015,230.45,228.06,227.9,228.07,44869.71
4/24/2015,233.31,231.68,231.49,231.59,69636.92
4/23/2015,235.63,236.01,235.9,236.42,43473.41
4/22/2015,236.1,234.35,234.15,234.37,78077.46
4/21/2015,226.84,233.67,233.48,233.68,84772.75
4/20/2015,224.5,224.71,224.55,224.68,59206.22
4/19/2015,225.3,223.16,223,223.09,49976.22
4/18/2015,223.76,224.58,224.39,224.59,43734.51
4/17/2015,225.76,223.51,223.37,223.47,73056.25
4/16/2015,227.68,229.96,229.78,229.9,88046.45
4/15/2015,221.76,222.16,222.02,222.17,75867.73
4/14/2015,221.75,217.64,217.36,217.48,130783.66
4/13/2015,234.44,223.38,223.14,223.14,99817.36
4/12/2015,237.5,236.8,236.72,236.78,37576.81
4/11/2015,236.73,236.66,236.47,236.57,52778.71
4/10/2015,239.65,235.26,235.11,235.22,96573.03
4/9/2015,244.73,243.91,243.53,243.7,68321.76
4/8/2015,251.09,246.61,246.44,246.46,97857.57
4/7/2015,255.37,255.55,255.27,255.46,51998.08
4/6/2015,258.69,256.82,256.49,256.68,69260.58
4/5/2015,256.46,258.26,258.09,258.23,51419.69
4/4/2015,254.62,255.11,255,255.03,35428.23
4/3/2015,254.32,254.92,254.72,254.92,70912.78
4/2/2015,248.77,252.57,252.34,252.62,85606.03
4/1/2015,244.38,247.14,246.93,247.04,69468.28
3/31/2015,246.72,246.86,246.46,246.56,64204.55
3/30/2015,245.19,247.65,247.3,247.44,77229.5
3/29/2015,246.67,243.34,242.89,243.12,68286.56
3/28/2015,252.28,253.76,253.51,253.56,49306.23
3/27/2015,248.48,248.99,248.91,248.95,53326.28
3/26/2015,249.69,249.01,248.84,248.98,76767.29
3/25/2015,245.46,246.83,246.5,246.77,119638.14
3/24/2015,257.98,248.97,248.85,248.92,138226.97
3/23/2015,267.98,268.15,267.98,268.09,68261.36
3/22/2015,262.57,268.88,268.55,268.84,47951.33
3/21/2015,260.93,260.74,260.58,260.61,46225.36
3/20/2015,261.7,262.88,262.48,262.74,50039.41
3/19/2015,257.63,261.77,261.65,261.76,176683.72
3/18/2015,275.74,255.59,255.36,255.5,186557.71
3/17/2015,290.68,285.71,285.49,285.67,59674.36
